n.label,type(r),type(r1),m.label
"Proto-Oncogene Tyrosine-Protein Kinase Src, human",INTERACTS_WITH,INHIBITS,STAT3 gene
Interleukin-1 beta,INTERACTS_WITH,INHIBITS,STAT3 gene
Interleukin-1 beta,INTERACTS_WITH,INHIBITS,STAT3 gene
palbociclib,INTERACTS_WITH,INHIBITS,STAT3 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,STAT3 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,STAT3 gene
Interleukin-6,INTERACTS_WITH,INHIBITS,STAT3 gene
Interleukin-6,INTERACTS_WITH,INHIBITS,STAT3 gene
ACE2 gene,INTERACTS_WITH,INHIBITS,Pulmonary Surfactants
cytotoxic T-lymphocyte antigen 4,INTERACTS_WITH,INHIBITS,MTUS1 gene
pembrolizumab,INTERACTS_WITH,INHIBITS,MTUS1 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,MTUS1 gene
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,camostat
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,camostat
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,DNA Helicases
ADAR gene,INTERACTS_WITH,INHIBITS,"RNA, Double-Stranded"
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,"3C-like protease, SARS coronavirus"
Ibrutinib,INTERACTS_WITH,INHIBITS,BTK gene
SOX2 Transcription Factor,INTERACTS_WITH,INHIBITS,TMEM173 gene
SOX2 Transcription Factor,INTERACTS_WITH,INHIBITS,TMEM173 gene
PCAT1 gene,INTERACTS_WITH,INHIBITS,TMEM173 gene
Estrogens,INTERACTS_WITH,INHIBITS,Gonadal Steroid Hormones
ACE2 gene,INTERACTS_WITH,INHIBITS,Ascorbic Acid
TCEA1 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Tamoxifen,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Antibodies,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Antibodies,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Blockade,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Blockade,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Recombinant Interferon-gamma,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
cytotoxic T-lymphocyte antigen 4,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
cytotoxic T-lymphocyte antigen 4,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
SMAD4 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
OIP5-AS1 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
OIP5-AS1 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
STAT3 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
STAT3 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Transforming Growth Factor beta,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
other medicated shampoos in ATC,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
"Antibodies, Bispecific",INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Ouabain,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
SLC5A2 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
SLC5A2 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
canagliflozin,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
canagliflozin,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Hypoxia-Inducible Factor 1,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Hypoxia-Inducible Factor 1,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
OIP5-AS1 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
OIP5-AS1 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Recombinant Interferon-gamma,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Anti-Antibodies,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Fusion protein,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Ara-C,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Ara-C,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
MTUS1 gene,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Proteins,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Blockade,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Blockade,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Antibodies,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Antibodies,INTERACTS_WITH,INHIBITS,"Antigens, CD274"
Nucleoside Analogs,INTERACTS_WITH,INHIBITS,Polymerase
Nucleoside Analogs,INTERACTS_WITH,INHIBITS,Polymerase
receptor,INTERACTS_WITH,INHIBITS,Peptide Hydrolases
Endopeptidases,INTERACTS_WITH,INHIBITS,Peptide Hydrolases
Famotidine,INTERACTS_WITH,INHIBITS,Peptide Hydrolases
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,Peptide Hydrolases
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,Peptide Hydrolases
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Peptide Hydrolases
YBX1 gene,INTERACTS_WITH,INHIBITS,Plasmids
"RNA, Double-Stranded",INTERACTS_WITH,INHIBITS,ADAR gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Cathepsin L
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Cathepsin L
DDR1 gene,INTERACTS_WITH,INHIBITS,ANTXR1 wt Allele
"RNA, Messenger",INTERACTS_WITH,INHIBITS,DEGS1 wt Allele
IRF1 gene,INTERACTS_WITH,INHIBITS,"STAT5A protein, human"
POU6F1 gene,INTERACTS_WITH,INHIBITS,HIF1A wt Allele
POU6F1 gene,INTERACTS_WITH,INHIBITS,HIF1A wt Allele
ACE2 gene,INTERACTS_WITH,INHIBITS,Serine Endopeptidases
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,"Receptors, Virus"
ACE2 gene,INTERACTS_WITH,INHIBITS,"Receptors, Virus"
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Fusion protein
Transforming Growth Factor beta,INTERACTS_WITH,INHIBITS,Fusion protein
BTK gene,INTERACTS_WITH,INHIBITS,Ibrutinib
YAP1 gene,INTERACTS_WITH,INHIBITS,Phosphotransferases
"EPHB2 protein, human",INTERACTS_WITH,INHIBITS,Phosphotransferases
Small Molecule,INTERACTS_WITH,INHIBITS,Phosphotransferases
YAP1 gene,INTERACTS_WITH,INHIBITS,Phosphotransferases
Genes,INTERACTS_WITH,INHIBITS,Complement System Proteins
DNA,INTERACTS_WITH,INHIBITS,Complement System Proteins
Ferritin,INTERACTS_WITH,INHIBITS,Lactate Dehydrogenase
Ferritin,INTERACTS_WITH,INHIBITS,Lactate Dehydrogenase
Interleukin 6 Receptor,INTERACTS_WITH,INHIBITS,"Antibodies, Monoclonal, Humanized"
pollutant,INTERACTS_WITH,INHIBITS,Sulfur Dioxide
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,Androgens
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,Androgens
Cholesterol,INTERACTS_WITH,INHIBITS,Hydroxymethylglutaryl-CoA Reductase Inhibitors
Interleukin-6,INTERACTS_WITH,INHIBITS,CHPT1 wt Allele
Glucose,INTERACTS_WITH,INHIBITS,Lactate
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Chloroquine
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Chloroquine
ACE2 gene,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
ACE2 gene,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
Genes,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
nafamostat,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
nafamostat,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
Androgens,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
Androgens,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
camostat,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
camostat,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
nafamostat,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
nafamostat,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
Peptides,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
ACE2 gene,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
ACE2 gene,INTERACTS_WITH,INHIBITS,TMPRSS2 gene
"RNA, Messenger",INTERACTS_WITH,INHIBITS,Candidate Disease Gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Candidate Disease Gene
Glutathione,INTERACTS_WITH,INHIBITS,Candidate Disease Gene
MicroRNAs,INTERACTS_WITH,INHIBITS,Candidate Disease Gene
MicroRNAs,INTERACTS_WITH,INHIBITS,Candidate Disease Gene
Genes,INTERACTS_WITH,INHIBITS,Base Sequence
Hydroxychloroquine,INTERACTS_WITH,INHIBITS,Lipids
DICER1 gene,INTERACTS_WITH,INHIBITS,MicroRNAs
"RNA, Messenger",INTERACTS_WITH,INHIBITS,MicroRNAs
"RNA, Messenger",INTERACTS_WITH,INHIBITS,MicroRNAs
"APEX1 protein, human",INTERACTS_WITH,INHIBITS,MicroRNAs
Candidate Disease Gene,INTERACTS_WITH,INHIBITS,MicroRNAs
Candidate Disease Gene,INTERACTS_WITH,INHIBITS,MicroRNAs
Proteins,INTERACTS_WITH,INHIBITS,MicroRNAs
Proteins,INTERACTS_WITH,INHIBITS,MicroRNAs
cytokine,INTERACTS_WITH,INHIBITS,MicroRNAs
Response Elements,INTERACTS_WITH,INHIBITS,MicroRNAs
Response Elements,INTERACTS_WITH,INHIBITS,MicroRNAs
"RNA, Long Untranslated",INTERACTS_WITH,INHIBITS,MicroRNAs
"RNA, Long Untranslated",INTERACTS_WITH,INHIBITS,MicroRNAs
Tumor Suppressor Genes,INTERACTS_WITH,INHIBITS,MicroRNAs
DICER1 gene,INTERACTS_WITH,INHIBITS,MicroRNAs
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,MicroRNAs
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,MicroRNAs
LINC00665 gene,INTERACTS_WITH,INHIBITS,MicroRNAs
cytokine,INTERACTS_WITH,INHIBITS,Hemoglobin
ACE2 gene,INTERACTS_WITH,INHIBITS,ADAM17 gene
ACE2 gene,INTERACTS_WITH,INHIBITS,Angiotensins
ACE2 gene,INTERACTS_WITH,INHIBITS,Interferons
"RAI3 protein, human",INTERACTS_WITH,INHIBITS,"WNK1 protein, human"
cytokine,INTERACTS_WITH,INHIBITS,NF-kappa B
Duration,INTERACTS_WITH,INHIBITS,Antibiotics
Duration,INTERACTS_WITH,INHIBITS,Antibiotics
HMGB1 gene,INTERACTS_WITH,INHIBITS,MOK wt Allele
PHKG1 gene,INTERACTS_WITH,INHIBITS,VWF gene
PHKG1 gene,INTERACTS_WITH,INHIBITS,VWF gene
Glycogen,INTERACTS_WITH,INHIBITS,VWF gene
ADAMTS13 gene,INTERACTS_WITH,INHIBITS,VWF gene
ADAMTS13 gene,INTERACTS_WITH,INHIBITS,VWF gene
YAP1 gene,INTERACTS_WITH,INHIBITS,SAG gene
DNA Modification Methylases,INTERACTS_WITH,INHIBITS,Metformin
cytokine,INTERACTS_WITH,INHIBITS,Metformin
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Recombinant Interferon-gamma
Interleukins,INTERACTS_WITH,INHIBITS,Recombinant Interferon-gamma
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Recombinant Interferon-gamma
Interleukin-10,INTERACTS_WITH,INHIBITS,Recombinant Interferon-gamma
SARS coronavirus Ab,INTERACTS_WITH,INHIBITS,Nucleocapsid
"Antibodies, Neutralizing",INTERACTS_WITH,INHIBITS,Nucleocapsid
arbidol,INTERACTS_WITH,INHIBITS,Glycoproteins
Proteins,INTERACTS_WITH,INHIBITS,Glycoproteins
SETDB1 gene,INTERACTS_WITH,INHIBITS,Suppressor
Recombinant Interferon-gamma,INTERACTS_WITH,INHIBITS,Interleukins
Proteins,INTERACTS_WITH,INHIBITS,Interleukins
Anti-Antibodies,INTERACTS_WITH,INHIBITS,Interleukins
MOK wt Allele,INTERACTS_WITH,INHIBITS,HMGB1 gene
Ferritin,INTERACTS_WITH,INHIBITS,Fibrin fragment D
Ferritin,INTERACTS_WITH,INHIBITS,Fibrin fragment D
SETD2 gene,INTERACTS_WITH,INHIBITS,Interleukin-8
cytokine,INTERACTS_WITH,INHIBITS,Interleukin-8
VWF gene,INTERACTS_WITH,INHIBITS,ADAMTS13 gene
VWF gene,INTERACTS_WITH,INHIBITS,ADAMTS13 gene
favipiravir,INTERACTS_WITH,INHIBITS,Ritonavir
Small Molecule,INTERACTS_WITH,INHIBITS,Endopeptidases
Peptide Hydrolases,INTERACTS_WITH,INHIBITS,Endopeptidases
Binding Sites,INTERACTS_WITH,INHIBITS,Endopeptidases
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,Endopeptidases
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Endopeptidases
Antiviral Agents,INTERACTS_WITH,INHIBITS,Endopeptidases
Antiviral Agents,INTERACTS_WITH,INHIBITS,Endopeptidases
DNA,INTERACTS_WITH,INHIBITS,Pharmacologic Substance
Proteins,INTERACTS_WITH,INHIBITS,Pharmacologic Substance
Proteins,INTERACTS_WITH,INHIBITS,Pharmacologic Substance
Transforming Growth Factor beta,INTERACTS_WITH,INHIBITS,Pharmacologic Substance
Aldehyde Dehydrogenase Mitochondrial,INTERACTS_WITH,INHIBITS,Pharmacologic Substance
Cisplatin,INTERACTS_WITH,INHIBITS,Pharmacologic Substance
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Pharmacologic Substance
Peptide Hydrolases,INTERACTS_WITH,INHIBITS,Pharmacologic Substance
Peptide Hydrolases,INTERACTS_WITH,INHIBITS,Pharmacologic Substance
Endopeptidases,INTERACTS_WITH,INHIBITS,Pharmacologic Substance
Proteins,INTERACTS_WITH,INHIBITS,Quercetin
boswellic acid,INTERACTS_WITH,INHIBITS,ICAM1 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Hypoxia-Inducible Factor 1
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Hypoxia-Inducible Factor 1
gingerol,INTERACTS_WITH,INHIBITS,Hypoxia-Inducible Factor 1
HSP90 Heat-Shock Proteins,INTERACTS_WITH,INHIBITS,Hypoxia-Inducible Factor 1
HSP90 Heat-Shock Proteins,INTERACTS_WITH,INHIBITS,Hypoxia-Inducible Factor 1
Genes,INTERACTS_WITH,INHIBITS,Vitamin D
gemcitabine,INTERACTS_WITH,INHIBITS,Doxorubicin
pirfenidone,INTERACTS_WITH,INHIBITS,Paclitaxel
pirfenidone,INTERACTS_WITH,INHIBITS,Paclitaxel
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Anti-Antibodies
Interleukins,INTERACTS_WITH,INHIBITS,Anti-Antibodies
"Ephrin Type-B Receptor 1, human",INTERACTS_WITH,INHIBITS,Anti-Antibodies
ACE2 gene,INTERACTS_WITH,INHIBITS,Anti-Antibodies
Vaccines,INTERACTS_WITH,INHIBITS,Anti-Antibodies
FOXP4-AS1 gene,INTERACTS_WITH,INHIBITS,"RNA, Small Interfering"
"Genes, Viral",INTERACTS_WITH,INHIBITS,"RNA, Small Interfering"
Genes,INTERACTS_WITH,INHIBITS,"FRAP1 protein, human"
Cisplatin,INTERACTS_WITH,INHIBITS,"FRAP1 protein, human"
Genes,INTERACTS_WITH,INHIBITS,"FRAP1 protein, human"
DSTYK gene,INTERACTS_WITH,INHIBITS,"FRAP1 protein, human"
CHML gene,INTERACTS_WITH,INHIBITS,"FRAP1 protein, human"
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,"FRAP1 protein, human"
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,"FRAP1 protein, human"
Mubritinib,INTERACTS_WITH,INHIBITS,"FRAP1 protein, human"
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,"FRAP1 protein, human"
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
cytotoxic T-lymphocyte antigen 4,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
Interleukin-6,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
Binding Sites,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
Vaccines,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
IMPACT gene,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
Interleukin 6 Receptor,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
Interleukin 6 Receptor,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
ACE2 gene,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
ACE2 gene,INTERACTS_WITH,INHIBITS,Monoclonal Antibodies
"Receptors, Virus",INTERACTS_WITH,INHIBITS,ACE2 gene
Antibodies,INTERACTS_WITH,INHIBITS,ACE2 gene
Antibodies,INTERACTS_WITH,INHIBITS,ACE2 gene
AGTR1 gene,INTERACTS_WITH,INHIBITS,ACE2 gene
"Receptor, Angiotensin, Type 1",INTERACTS_WITH,INHIBITS,ACE2 gene
"Receptor, Angiotensin, Type 1",INTERACTS_WITH,INHIBITS,ACE2 gene
Anti-Antibodies,INTERACTS_WITH,INHIBITS,ACE2 gene
Proteins,INTERACTS_WITH,INHIBITS,ACE2 gene
Proteins,INTERACTS_WITH,INHIBITS,ACE2 gene
Pulmonary Surfactants,INTERACTS_WITH,INHIBITS,ACE2 gene
Aldosterone,INTERACTS_WITH,INHIBITS,ACE2 gene
Angiotensin II,INTERACTS_WITH,INHIBITS,ACE2 gene
Angiotensin II,INTERACTS_WITH,INHIBITS,ACE2 gene
Interferons,INTERACTS_WITH,INHIBITS,ACE2 gene
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,ACE2 gene
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,ACE2 gene
ADAM17 gene,INTERACTS_WITH,INHIBITS,ACE2 gene
cytokine,INTERACTS_WITH,INHIBITS,ACE2 gene
cytokine,INTERACTS_WITH,INHIBITS,ACE2 gene
Angiotensins,INTERACTS_WITH,INHIBITS,ACE2 gene
Genes,INTERACTS_WITH,INHIBITS,ACE2 gene
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,ACE2 gene
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,ACE2 gene
Interleukin-6,INTERACTS_WITH,INHIBITS,ACE2 gene
angiotensin converting enzyme 2,INTERACTS_WITH,INHIBITS,ACE2 gene
Anti-Anxiety Agents,INTERACTS_WITH,INHIBITS,ACE2 gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,ACE2 gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,ACE2 gene
Angiotensin-Converting Enzyme Inhibitors,INTERACTS_WITH,INHIBITS,ACE2 gene
Angiotensin-Converting Enzyme Inhibitors,INTERACTS_WITH,INHIBITS,ACE2 gene
Angiotensin II receptor antagonist,INTERACTS_WITH,INHIBITS,ACE2 gene
Antibodies,INTERACTS_WITH,INHIBITS,ACE2 gene
Antibodies,INTERACTS_WITH,INHIBITS,ACE2 gene
Proteins,INTERACTS_WITH,INHIBITS,ACE2 gene
Proteins,INTERACTS_WITH,INHIBITS,ACE2 gene
Mediator brand of benfluorex hydrochloride,INTERACTS_WITH,INHIBITS,ACE2 gene
Mediator brand of benfluorex hydrochloride,INTERACTS_WITH,INHIBITS,ACE2 gene
Ergocalciferol,INTERACTS_WITH,INHIBITS,ACE2 gene
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,ACE2 gene
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,ACE2 gene
Blockade,INTERACTS_WITH,INHIBITS,ACE2 gene
IMPACT gene,INTERACTS_WITH,INHIBITS,ACE2 gene
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,ACE2 gene
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,ACE2 gene
Hydroxychloroquine,INTERACTS_WITH,INHIBITS,ACE2 gene
Serine Endopeptidases,INTERACTS_WITH,INHIBITS,ACE2 gene
Ascorbic Acid,INTERACTS_WITH,INHIBITS,ACE2 gene
receptor,INTERACTS_WITH,INHIBITS,ACE2 gene
receptor,INTERACTS_WITH,INHIBITS,ACE2 gene
Calcitriol,INTERACTS_WITH,INHIBITS,ACE2 gene
Flavonoids,INTERACTS_WITH,INHIBITS,ACE2 gene
Lisinopril,INTERACTS_WITH,INHIBITS,ACE2 gene
Estrogens,INTERACTS_WITH,INHIBITS,ACE2 gene
Estrogens,INTERACTS_WITH,INHIBITS,ACE2 gene
Genes,INTERACTS_WITH,INHIBITS,ACE2 gene
Endopeptidases,INTERACTS_WITH,INHIBITS,Binding Sites
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Binding Sites
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,Binding Sites
Ergocalciferol,INTERACTS_WITH,INHIBITS,Binding Sites
Xanthine Dehydrogenase,INTERACTS_WITH,INHIBITS,Level
Xanthine Dehydrogenase,INTERACTS_WITH,INHIBITS,Level
Sulfur Dioxide,INTERACTS_WITH,INHIBITS,pollutant
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Reactive Oxygen Species
BCL2 gene,INTERACTS_WITH,INHIBITS,caspase-3
BAX gene,INTERACTS_WITH,INHIBITS,caspase-3
Lactate,INTERACTS_WITH,INHIBITS,Glucose
HAO1 gene,INTERACTS_WITH,INHIBITS,Glucose
Antibodies,INTERACTS_WITH,INHIBITS,Epitopes
Antibodies,INTERACTS_WITH,INHIBITS,Epitopes
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,Peptides
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Peptides
"Antigens, CD274",INTERACTS_WITH,INHIBITS,other medicated shampoos in ATC
Vaccines,INTERACTS_WITH,INHIBITS,other medicated shampoos in ATC
Nucleocapsid,INTERACTS_WITH,INHIBITS,SARS coronavirus Ab
Mullerian duct inhibiting substance,INTERACTS_WITH,INHIBITS,SARS coronavirus Ab
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,DNA
Complement System Proteins,INTERACTS_WITH,INHIBITS,DNA
Proteins,INTERACTS_WITH,INHIBITS,"Antibodies, Neutralizing"
Vaccines,INTERACTS_WITH,INHIBITS,"Antibodies, Neutralizing"
Vaccines,INTERACTS_WITH,INHIBITS,"Antibodies, Neutralizing"
Nucleocapsid,INTERACTS_WITH,INHIBITS,"Antibodies, Neutralizing"
"Delta-Like Protein 1, human",INTERACTS_WITH,INHIBITS,"Antibodies, Neutralizing"
Fibrin fragment D,INTERACTS_WITH,INHIBITS,Ferritin
Fibrin fragment D,INTERACTS_WITH,INHIBITS,Ferritin
Interleukin-6,INTERACTS_WITH,INHIBITS,Ferritin
Interleukin-6,INTERACTS_WITH,INHIBITS,Ferritin
Lactate Dehydrogenase,INTERACTS_WITH,INHIBITS,Ferritin
Lactate Dehydrogenase,INTERACTS_WITH,INHIBITS,Ferritin
tocilizumab,INTERACTS_WITH,INHIBITS,Ferritin
Ritonavir,INTERACTS_WITH,INHIBITS,favipiravir
Hydroxychloroquine,INTERACTS_WITH,INHIBITS,favipiravir
Adrenal Cortex Hormones,INTERACTS_WITH,INHIBITS,Oxygen
caspase-3,INTERACTS_WITH,INHIBITS,BCL2 gene
TP53 gene,INTERACTS_WITH,INHIBITS,BCL2 gene
Poly(ADP-ribose) Polymerases,INTERACTS_WITH,INHIBITS,BCL2 gene
BAX gene,INTERACTS_WITH,INHIBITS,BCL2 gene
BAX gene,INTERACTS_WITH,INHIBITS,BCL2 gene
"Antibodies, Neutralizing",INTERACTS_WITH,INHIBITS,"Delta-Like Protein 1, human"
Vaccines,INTERACTS_WITH,INHIBITS,"Delta-Like Protein 1, human"
Vaccines,INTERACTS_WITH,INHIBITS,"Delta-Like Protein 1, human"
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,VIM gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,VIM gene
erlotinib,INTERACTS_WITH,INHIBITS,VIM gene
erlotinib,INTERACTS_WITH,INHIBITS,VIM gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,VIM gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,VIM gene
ACE2 gene,INTERACTS_WITH,INHIBITS,Angiotensin II
ACE2 gene,INTERACTS_WITH,INHIBITS,Angiotensin II
ACE2 gene,INTERACTS_WITH,INHIBITS,Flavonoids
"FRAP1 protein, human",INTERACTS_WITH,INHIBITS,Genes
EZH2 gene,INTERACTS_WITH,INHIBITS,Genes
"Genes, Overlapping",INTERACTS_WITH,INHIBITS,Genes
Interleukin-6,INTERACTS_WITH,INHIBITS,Genes
ACE2 gene,INTERACTS_WITH,INHIBITS,Genes
"Genes, Overlapping",INTERACTS_WITH,INHIBITS,Genes
nutlin 3,INTERACTS_WITH,INHIBITS,Genes
TRANSCRIPTION FACTOR,INTERACTS_WITH,INHIBITS,Genes
TRANSCRIPTION FACTOR,INTERACTS_WITH,INHIBITS,Genes
"FRAP1 protein, human",INTERACTS_WITH,INHIBITS,Genes
CEL gene,INTERACTS_WITH,INHIBITS,Genes
TP53 gene,INTERACTS_WITH,INHIBITS,Genes
TP53 gene,INTERACTS_WITH,INHIBITS,Genes
EZH2 gene,INTERACTS_WITH,INHIBITS,Genes
Base Sequence,INTERACTS_WITH,INHIBITS,Genes
Glycogen Synthase Kinase 3,INTERACTS_WITH,INHIBITS,Genes
Complement System Proteins,INTERACTS_WITH,INHIBITS,Genes
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,Genes
ACE2 gene,INTERACTS_WITH,INHIBITS,Genes
Vitamin D,INTERACTS_WITH,INHIBITS,Genes
ACE2 gene,INTERACTS_WITH,INHIBITS,Calcitriol
Genes,INTERACTS_WITH,INHIBITS,TRANSCRIPTION FACTOR
Genes,INTERACTS_WITH,INHIBITS,TRANSCRIPTION FACTOR
STAT3 gene,INTERACTS_WITH,INHIBITS,Interleukin-1 beta
STAT3 gene,INTERACTS_WITH,INHIBITS,Interleukin-1 beta
Interleukin-10,INTERACTS_WITH,INHIBITS,Interleukin-1 beta
palbociclib,INTERACTS_WITH,INHIBITS,Interleukin-1 beta
cytokine,INTERACTS_WITH,INHIBITS,Interleukin-1 beta
Interleukin-1 beta,INTERACTS_WITH,INHIBITS,Interleukin-10
Interleukin-6,INTERACTS_WITH,INHIBITS,Interleukin-10
Recombinant Interferon-gamma,INTERACTS_WITH,INHIBITS,Interleukin-10
Interleukin-6,INTERACTS_WITH,INHIBITS,Interleukin-10
Xanthine Dehydrogenase,INTERACTS_WITH,INHIBITS,Amino Acids
Xanthine Dehydrogenase,INTERACTS_WITH,INHIBITS,Amino Acids
IMPACT gene,INTERACTS_WITH,INHIBITS,Nucleic Acids
"RNA, Small Interfering",INTERACTS_WITH,INHIBITS,"Genes, Viral"
TP53 gene,INTERACTS_WITH,INHIBITS,SIRT1 gene
